あ|あ|Ah|အာ|interjection
植える|うえる|to plant,to grow|စိုက်ပျိုးသည်|verb
うかがう|うかがう|to visit|လည်ပတ်သည်|verb
受付|うけつけ|receipt|လက်ခံခြင်း|noun
受ける|うける|to take a lesson or test|သင်ခန်းစာသို့မဟုတ်စမ်းသပ်မှုခံယူသည်|verb
動く|うごく|to move|ရွှေ့သည်|verb
うそ|うそ|a lie|လိမ်ညာ|noun
うち|うち|within|အတွင်း|adverb
打つ|うつ|to hit|ရိုက်သည်|verb
美しい|うつくしい|beautiful|လှပသော|adjective
写す|うつす|to copy or photograph|ကူးယူသို့မဟုတ်ဓာတ်ပုံရိုက်သည်|verb
移る|うつる|to move house or transfer|အိမ်ရွှေ့သို့မဟုတ်လွှဲပြောင်းသည်|verb
腕|うで|arm|လက်မောင်း|noun
うまい|うまい|delicious|အရသာရှိသော|adjective
裏|うら|reverse side|နောက်ကျောဘက်|noun
売り場|うりば|place where things are sold|ပစ္စည်းရောင်းချရာနေရာ|noun
うれしい|うれしい|glad|ပျော်ရွှင်သော|adjective
うん|うん|(informal) yes|(အလွတ်သဘော)ဟုတ်ကဲ့|adverb
運転|うんてん・する|to drive|မောင်းသည်|verb
運転手|うんてんしゅ|driver|မောင်းသူ|noun
運動|うんどう・する|to exercise|လေ့ကျင့်ခန်းလုပ်သည်|verb
エスカレーター|エスカレーター|escalator|လှေကားထစ်|noun
枝|えだ|branch, twig|အကိုင်း၊အညွှါ|noun
選ぶ|えらぶ|to choose|ရွေးချယ်သည်|verb
遠慮|えんりょ・する|to be reserved, to be restrained|ကန့်သတ်သည်၊ချုပ်တည်းသည်|verb
おいでになる|おいでになる|(respectful) to be|(လေးစား)ရှိသည်|verb
お祝い|おいわい|congratulation|ဂုဏ်ပြုမှု|noun
オートバイ|オートバイ|motorcycle|မော်တော်ဆိုင်ကယ်|noun
おかげ|おかげ|owing to|ကြောင့်|adverb
おかしい|おかしい|strange or funny|ထူးဆန်းသောသို့မဟုတ်ရယ်စရာ|adjective
億|おく|one hundred million|သန်းတစ်ရာ|noun
屋上|おくじょう|rooftop|အမိုးပေါ်|noun
贈り物|おくりもの|gift|လက်ဆောင်|noun
送る|おくる|to send|ပို့သည်|verb
遅れる|おくれる|to be late|နောက်ကျသည်|verb
起す|おこす|to wake|နိုးသည်|verb
行う|おこなう|to do|လုပ်ဆောင်သည်|verb
怒る|おこる|to get angry,to be angry|ဒေါသထွက်သည်|verb
押し入れ|おしいれ|closet|ဗီရို|noun
お嬢さん|おじょうさん|young lady|မိန်းကလေး|noun
お宅|おたく|(polite) your house|(ယဉ်ကျေး)သင့်အိမ်|noun
落る|おちる|to fall or drop|ကျသည်|verb
おっしゃる|おっしゃる|(respectful) to say|(လေးစား)ပြောသည်|verb
夫|おっと|husband|ခင်ပွန်း|noun
おつり|おつり|change from purchase, balance|ဝယ်ယူမှပြန်အမ်း၊လက်ကျန်|noun
音|おと|sound,note|အသံ၊မှတ်စု|noun
落す|おとす|to drop|ကျသည်|verb
踊り|おどり|a dance|ကတစ်ခါ|noun
踊る|おどる|to dance|ကသည်|verb
驚く|おどろく|to be surprised|အံ့အားသင့်သည်|verb
お祭り|おまつり|festival|ပွဲတော်|noun
お見舞い|おみまい|calling on someone who is ill,enquiry|ဖျားနာနေသူကိုလည်ပတ်ခြင်း၊မေးမြန်းခြင်း|noun
お土産|おみやげ|souvenir|အမှတ်တရပစ္စည်း|noun
思い出す|おもいだす|to remember|မှတ်မိသည်|verb
思う|おもう|to think,to feel|တွေးသည်၊ခံစားသည်|verb
おもちゃ|おもちゃ|toy|ကစားစရာ|noun
表|おもて|the front|ရှေ့ပိုင်း|noun
親|おや|parents|မိဘများ|noun
下りる|おりる|to get off|ဆင်းသည်|verb
折る|おる|to break or to fold|ကျိုးသည်သို့မဟုတ်ခေါက်သည်|verb
お礼|おれい|expression of gratitude|ကျေးဇူးတင်ရှိမှုဖော်ပြချက်|noun
折れる|おれる|to break or be folded|ကျိုးသည်သို့မဟုတ်ခေါက်ခံရသည်|verb
終わり|おわり|the end|အဆုံး|noun
カーテン|カーテン|curtain|ပုံးကန်|noun
海岸|かいがん|coast|ကမ်းရိုး|noun
会議|かいぎ|meeting|အစည်းအဝေး|noun
会議室|かいぎしつ|meeting room|အစည်းအဝေးအခန်း|noun
会場|かいじょう|assembly hall or meeting place|စည်းဝေးခန်းသို့မဟုတ်အစည်းအဝေးနေရာ|noun
会話|かいわ|conversation|စကားဝိုင်း|noun
帰り|かえり|return|ပြန်လာခြင်း|noun
変える|かえる|to change|ပြောင်းသည်|verb
科学|かがく|science|သိပ္ပံ|noun
鏡|かがみ|mirror|မှန်|noun
掛ける|かける|to hang something|ချိတ်ဆွဲသည်|verb
飾る|かざる|to decorate|အလှဆင်သည်|verb
火事|かじ|fire|မီး|noun
ガス|ガス|petrol|ဂက်စ်|noun
ガソリン|ガソリン|petrol|ဓာတ်ဆီ|noun
ガソリンスタンド|ガソリンスタンド|petrol station|ဓာတ်ဆီဆိုင်|noun
堅/硬/固い|かたい|hard|ကြမ်း|adjective
形|かたち|shape|ပုံသဏ္ဌာန်|noun
片付ける|かたづける|to tidy up|ရှင်းသည်|verb
課長|かちょう|section manager|ဌာနမန်နေဂျာ|noun
勝つ|かつ|to win|နိုင်သည်|verb
かっこう|かっこう|appearance|အသွင်အပြင်|noun
家内|かない|housewife|အိမ်ရှင်မ|noun
悲しい|かなしい|sad|ဝမ်းနည်းသော|adjective
必ず|かならず|certainly,necessarily|အမှန်တကယ်၊လိုအပ်ချက်အရ|adverb
お・金持ち|かねもち/おかねもち|rich man|ချမ်းသာသူ|noun
彼女|かのじょ|she,girlfriend|သူမ၊ရည်းစား|noun
壁|かべ|wall|နံရံ|noun
かまう|かまう|to mind|ဂရုစိုက်သည်|verb
髪|かみ|hair|ဆံပင်|noun
噛む|かむ|to bite,to chew|ကိုက်သည်၊ဝါးသည်|verb
通う|かよう|to commute|ပုံမှန်သွားသည်|verb
ガラス|ガラス|a glass pane|ကျန်းပန်း|noun
彼|かれ|he,boyfriend|သူ၊ရည်းစား|noun
彼ら|かれら|they|သူတို့|noun
乾く|かわく|to get dry|ခြောက်သည်|verb
代わり|かわり|substitute,alternate|အစားထိုး၊အလှည့်ကျ|noun
変わる|かわる|to change|ပြောင်းသည်|verb
考える|かんがえる|to consider|စဉ်းစားသည်|verb
関係|かんけい|relationship|ဆက်ဆံရေး|noun
看護婦|かんごふ|female nurse|အမျိုးသမီးသူနာပြု|noun
簡単|かんたん|simple|ရိုးရှင်းသော|adjective
気|き|spirit,mood|စိတ်၊ခံစားချက်|noun
機会|きかい|opportunity|အခွင့်အရေး|noun
危険|きけん|danger|အန္တရာယ်|noun
聞こえる|きこえる|to be heard|ကြားသည်|verb
汽車|きしゃ|steam train|ရေနွေးရထား|noun
技術|ぎじゅつ|art,technology,skill|အနုပညာ၊နည်းပညာ၊ကျွမ်းကျင်မှု|noun
季節|きせつ|season|ရာသီ|noun
規則|きそく|regulations|စည်းမျဉ်းများ|noun
きっと|きっと|surely|သေချာစွာ|adverb
絹|きぬ|silk|ပိုး|noun
厳しい|きびしい|strict|တင်းကြပ်သော|adjective
気分|きぶん|mood|ခံစားချက်|noun
決る|きまる|to be decided|ဆုံးဖြတ်ခံရသည်|verb
君|きみ|(informal) You (used by men towards women)|(အလွတ်သဘော)မင်း(ယောက်ျားများမှအမျိုးသမီးများသို့အသုံးပြု)|noun
決める|きめる|to decide|ဆုံးဖြတ်သည်|verb
気持ち|きもち|feeling,mood|ခံစားချက်၊ခံစားချက်|noun
着物|きもの|kimono|ကီမိုနို|noun
客|きゃく|guest,customer|ဧည့်သည်၊ဖောက်သည်|noun
急|きゅう|urgent, steep|အရေးတကြီး၊မတ်စောက်သော|adjective
急行|きゅうこう|speedy, express|မြန်ဆန်သော၊အမြန်|noun
教育|きょういく|education|ပညာရေး|noun
教会|きょうかい|church|ချာ့ချ်|noun
競争|きょうそう|competition|ပြိုင်ဆိုင်မှု|noun
興味|きょうみ|an interest|စိတ်ဝင်တစားရှိမှု|noun
近所|きんじょ|neighbourhood|အနီးပတ်ဝန်းကျင်|noun
具合|ぐあい|condition,health|အခြေအနေ၊ကျန်းမာရေး|noun
空気|くうき|air,atmosphere|လေ၊လေထု|noun
空港|くうこう|airport|လေဆိပ်|noun
草|くさ|grass|မြက်|noun
くださる|くださる|(respectful) to give|(လေးစား)ပေးသည်|verb
首|くび|neck|လည်ပင်း|noun
雲|くも|cloud|တိမ်|noun
比べる|くらべる|to compare|နှိုင်းယှဉ်သည်|verb
くれる|くれる|to give|ပေးသည်|verb
暮れる|くれる|to get dark,to come to an end|မှောင်သည်၊အဆုံးရောက်သည်|verb
くん|くん|suffix for familiar young male|ရင်းနှီးသောလူငယ်အထီးအတွက်နောက်ဆက်|noun
毛|け|hair or fur|ဆံပင်သို့မဟုတ်အမွေး|noun
計画|けいかく・する|to plan|အစီအမံချသည်|verb
経験|けいけん・する|to experience|အတွေ့အကြုံရသည်|verb
経済|けいざい|finance,economy|ဘဏ္ဍာ၊စီးပွားရေး|noun
警察|けいさつ|police|ရဲ|noun
ケーキ|ケーキ|cake|ကိတ်|noun
けが・する|けが・する|to injure|ဒဏ်ရာရသည်|verb
景色|けしき|scene,landscape|မြင်ကွင်း၊ရှုခင်း|noun
消しゴム|けしゴム|eraser|ဖျက်ရန်ရာဘာ|noun
下宿|げしゅく|lodging|နေထိုင်ရာ|noun
けっして|けっして|never|ဘယ်တော့မှမဟုတ်|adverb
けれど/けれども|けれど/けれども|however|သို့ရာတွင်|adverb
原因|げんいん|cause,source|အကြောင်းရင်း၊အရင်းအမြစ်|noun
けんか・する|けんか・する|to quarrel|ရန်ဖြစ်သည်|verb
研究|けんきゅう|research|သုတေသန|noun
研究室|けんきゅうしつ|study room,laboratory|လေ့လာခန်း၊ဓာတ်ခွဲခန်း|noun
見物|けんぶつ|sightseeing|မြင်ကွင်းကြည့်သည်|noun
こ|こ|child|ကလေး|noun
こう|こう|this way|ဒီနည်း|adverb
郊外|こうがい|outskirts|ဆင်ခြေတော|noun
講義|こうぎ|lecture|ဟောပြောချက်|noun
工業|こうぎょう|the manufacturing industry|စက်မှုလုပ်ငန်း|noun
高校|こうこう|high school|အထက်တန်းကျောင်း|noun
高校生|こうこうせい|high school student|အထက်တန်းကျောင်းသား|noun
工場|こうじょう|factory|စက်ရုံ|noun
校長|こうちょう|headmaster|ကျောင်းအုပ်|noun
交通|こうつう|traffic,transportation|လမ်းပန်းဆက်သွယ်ရေး၊သယ်ယူပို့ဆောင်ရေး|noun
講堂|こうどう|auditorium|ဟောပြောခန်း|noun
高等学校|こうとうがっこう|high school|အထက်တန်းကျောင်း|noun
公務員|こうむいん|government worker|အစိုးရဝန်ထမ်း|noun
国際|こくさい|international|နိုင်ငံတကာ|adjective
心|こころ|core,heart|အူတိုင်၊နှလုံး|noun
ごしゅじん|ごしゅじん|(honorable) your husband|(ဂုဏ်ယူ)သင့်ခင်ပွန်း|noun
故障|こしょう・する|to break-down|ပျက်စီးသည်|verb
ご存じ|ごぞんじ|knowing,acquaintance|သိသည်၊ရင်းနှီးမှု|noun
答|こたえ|response|အဖြေ|noun
ごちそう|ごちそう|a feast|ပွဲခံ|noun
こと|こと|thing,matter|အရာ၊ကိစ္စ|noun
小鳥|ことり|small bird|ကလေးငှက်|noun
このあいだ|このあいだ|the other day,recently|တစ်ရက်က၊မကြာသေး|adverb
このごろ|このごろ|these days,nowadays|ဒီရက်များ၊ယခုခေတ်|adverb
細かい|こまかい|small, fine|သေးငယ်သော၊ကောင်းမွန်သော|adjective
ごみ|ごみ|rubbish|အမှိုက်|noun
込む|こむ|to be crowded|ပြည့်နက်သည်|verb
米|こめ|uncooked rice|ဆန်မချက်ရသေး|noun
ごらんになる|ごらんになる|(respectful) to see|(လေးစား)ကြည့်သည်|verb
これから|これから|after this|ဒီနောက်|adverb
怖い|こわい|frightening|ကြောက်မက်ဖွယ်|adjective
壊す|こわす|to break|ကျိုးသည်|verb
壊れる|こわれる|to be broken|ကျိုးခံရသည်|verb
コンサート|コンサート|concert|ကွန်ဆတ်|noun
今度|こんど|now,next time|ယခု၊နောက်တစ်ခါ|adverb
コンピュータ/コンピューター|コンピュータ/コンピューター|computer|ကွန်ပျူတာ|noun
今夜|こんや|tonight|ယနေ့ည|noun
最近|さいきん|latest,nowadays|နောက်ဆုံး၊ယခုခေတ်|adverb
最後|さいご|last,end|နောက်ဆုံး၊အဆုံး|noun
最初|さいしょ|beginning,first|အစ၊ပထမ|noun
坂|さか|slope,hill|ဆင်ခြေ၊တောင်ကုန်း|noun
探す|さがす|to look for|ရှာသည်|verb
下る|さがる|to get down,to descend|ဆင်းသည်|verb
盛ん|さかん|popularity,prosperous|ရေပန်းစားမှု၊ချမ်းသာ|adjective
下げる|さげる|to hang,to lower,to move back|ချိတ်ဆွဲသည်၊နိမ့်သည်၊နောက်ပြန်ရွှေ့သည်|verb
差し上げる|さしあげる|(polite) to give|(ယဉ်ကျေး)ပေးသည်|verb
さっき|さっき|some time ago|ခဏက|adverb
寂しい|さびしい|lonely|အထီးကျန်သော|adjective
さ来月|さらいげつ|the month after next|နောက်လနောက်လ|noun
さ来週|さらいしゅう|the week after next|နောက်ပတ်နောက်ပတ်|noun
サラダ|サラダ|salad|ဆလဒ်|noun
騒ぐ|さわぐ|to make noise,to be excited|ဆူညံသည်၊စိတ်လှုပ်ရှားသည်|verb
触る|さわる|to touch|ထိသည်|verb
産業|さんぎょう|industry|စက်မှု|noun
サンダル|サンダル|sandal|ဖိနပ်|noun
サンドイッチ|サンドイッチ|sandwich|ဆန်းဒွစ်|noun
残念|ざんねん|disappointment|စိတ်ပျက်မှု|noun
市|し|city|မြို့|noun
字|じ|character|အက္ခရာ|noun
試合|しあい|match,game|ပွဲ၊ဂိမ်း|noun
仕方|しかた|method|နည်း|noun
然る|しかる|a particular|အထူးတစ်ခု|adverb
試験|しけん|examination|စာမေးပွဲ|noun
事故|じこ|accident|မတော်တဆမှု|noun
地震|じしん|earthquake|မြေငလျင်|noun
時代|じだい|era|ခေတ်|noun
下着|したぎ|underwear|အတွင်းဝတ်စုံ|noun
支度|したく・する|to prepare|ပြင်ဆင်သည်|verb
しっかり|しっかり|firmly,steadily|ခိုင်မာစွာ၊တည်ငြိမ်စွာ|adverb
失敗|しっぱい|failure,mistake|ကျရှုံးမှု၊အမှား|noun
辞典|じてん|dictionary|အဘိဓာန်|noun
品物|しなもの|goods|ပစ္စည်းများ|noun
しばらく|しばらく|little while|ခဏ|adverb
島|しま|island|ကျွန်း|noun
市民|しみん|citizen|နိုင်ငံသား|noun
事務所|じむしょ|office|ရုံး|noun
社会|しゃかい|society,public|လူ့အဖွဲ့အစည်း၊အများပြည်သူ|noun
社長|しゃちょう|company president|ကုမ္ပဏီဥက္ကဋ္ဌ|noun
じゃま|じゃま|hindrance,intrusion|အဟန့်အတား၊ကျူးကျော်မှု|noun
ジャム|ジャム|jam|ဂျမ်း|noun
自由|じゆう|freedom|လွတ်လပ်မှု|noun
習慣|しゅうかん|custom,manners|ဓလေ့၊အမူအကျင့်|noun
住所|じゅうしょ|an address,a residence|လိပ်စာ၊နေထိုင်ရာ|noun
柔道|じゅうどう|judo|ဂျူဒို|noun
十分|じゅうぶん|enough|လုံလောက်သော|adjective
出席|しゅっせき・する|to attend|တက်ရောက်သည်|verb
出発|しゅっぱつ・する|to depart|ထွက်ခွာသည်|verb
趣味|しゅみ|hobby|ဝါသနာ|noun
準備|じゅんび・する|to prepare|ပြင်ဆင်သည်|verb
紹介|しょうかい|introduction|နိဒါန်း|noun
小学校|しょうがっこう|elementary school|မူလတန်းကျောင်း|noun
小説|しょうせつ|novel|ဝတ္တု|noun
招待|しょうたい・する|to invite|ဖိတ်ခေါ်သည်|verb
承知|しょうち・する|to consent|သဘောတူသည်|verb
将来|しょうらい|future,prospects|အနာဂတ်၊အလားအလာ|noun
食事|しょくじ・する|to have a meal|အစာစားသည်|verb
食料品|しょくりょうひん|groceries|စားနပ်ရိက္ခာပစ္စည်းများ|noun
女性|じょせい|woman|အမျိုးသမီး|noun
知らせる|しらせる|to notify|အသိပေးသည်|verb
調べる|しらべる|to investigate|စုံစမ်းသည်|verb
人口|じんこう|population|လူဦးရေ|noun
神社|じんじゃ|Shinto shrine|ရှင်တိုဘုရားကျောင်း|noun
親切|しんせつ|kindness|ကြင်နာမှု|noun
心配|しんぱい・する|to worry|စိုးရိမ်သည်|verb
新聞社|しんぶんしゃ|newspaper company|သတင်းစာကုမ္ပဏီ|noun
水泳|すいえい|swimming|ရေကူး|noun
水道|すいどう|water supply|ရေပိုက်|noun
ずいぶん|ずいぶん|extremely|အလွန်|adverb
数学|すうがく|mathematics,arithmetic|သင်္ချာ၊ဂဏန်းပညာ|noun
スーツ|スーツ|suit|ဝတ်စုံ|noun
スーツケース|スーツケース|suitcase|ဆွစ်ကိတ်|noun
過ぎる|すぎる|to exceed|ကျော်လွန်သည်|verb
すく|すく|to become empty|ဗလာဖြစ်သည်|verb
スクリーン|スクリーン|screen|မျက်နှာပြင်|noun
凄い|すごい|terrific|ကြောက်မက်ဖွယ်|adjective
進む|すすむ|to make progress|တိုးတက်သည်|verb
すっかり|すっかり|completely|လုံးဝ|adverb
すっと|すっと|straight,all of a sudden|ဖြောင့်စွာ၊ရုတ်တရက်|adverb
ステーキ|ステーキ|steak|စတိတ်|noun
捨てる|すてる|to throw away|ပစ်ချသည်|verb
ステレオ|ステレオ|stereo|စတီရီယို|noun
砂|すな|sand|သဲ|noun
すばらしい|すばらしい|wonderful|အံ့မခန်း|adjective
滑る|すべる|to slide,to slip|လျှော်သည်၊ချော်သည်|verb
隅|すみ|corner,nook|ထောင့်၊အပေါက်|noun
済む|すむ|to finish|ပြီးသည်|verb
すり|すり|pickpocket|အိတ်ကြည့်သူ|noun
すると|すると|then|ထို့နောက်|adverb
生活|せいかつ・する|to live|နေထိုင်သည်|verb
生産|せいさん・する|to produce|ထုတ်လုပ်သည်|verb
政治|せいじ|politics,government|နိုင်ငံရေး၊အစိုးရ|noun
西洋|せいよう|western countries|အနောက်နိုင်ငံများ|noun
世界|せかい|the world|ကမ္ဘာ|noun
席|せき|seat|ထိုင်ခုံ|noun
説明|せつめい|explanation|ရှင်းပြချက်|noun
背中|せなか|back of the body|ကိုယ်နောက်ကျော|noun
ぜひ|ぜひ|without fail|မရှုံးနိုင်အောင်|adverb
世話|せわ・する|to look after|ကြည့်ရှုသည်|verb
線|せん|line|မျဉ်း|noun
ぜんぜん|ぜんぜん|not entirely (used in a negative sentence)|လုံးဝမဟုတ်ပါ(အနုတ်လက္ခဏာဝါကျတွင်သုံး)|adverb
戦争|せんそう|war|စစ်ပွဲ|noun
先輩|せんぱい|senior|အကြီးတန်း|noun
そう|そう|really|တကယ်|adverb
相談|そうだん・する|to discuss|ဆွေးနွေးသည်|verb
育てる|そだてる|to rear,to bring up|ပြုစုသည်၊မွေးသည်|verb
卒業|そつぎょう|graduation|ဘွဲ့ရသည်|noun
祖父|そふ|grandfather|အဘိုး|noun
ソフト|ソフト|soft|နူးညံ့သော|adjective
祖母|そぼ|grandmother|အဖွား|noun
それで|それで|because of that|ဒါကြောင့်|adverb
それに|それに|moreover|ထို့အပြင်|adverb
それほど|それほど|to that extent|ထိုအတိုင်းအတာအထိ|adverb
そろそろ|そろそろ|gradually,soon|တဖြည်းဖြည်း၊မကြာ|adverb
そんな|そんな|that sort of|ထို့အမျိုးအစား|adjective
そんなに|そんなに|so much,like that|ထို့မျှလောက်၊ထို့လို|adverb
退院|たいいん・する|to leave hospital|ဆေးရုံမှဆင်းသည်|verb
大学生|だいがくせい|university student|တက္ကသိုလ်ကျောင်းသား|noun
大事|だいじ|important,valuable,serious matter|အရေးကြီး၊တန်ဖိုးရှိသော၊လေးလံသောကိစ္စ|adjective
大体|だいたい|generally|ယေဘုယျအားဖြင့်|adverb
たいてい|たいてい|usually|များသောအားဖြင့်|adverb
タイプ|タイプ|type,style|အမျိုး၊ပုံစံ|noun
大分|だいぶ|greatly|များစွာ|adverb
台風|たいふう|typhoon|လေပြင်းမုန်တိုင်း|noun
倒れる|たおれる|to break down|ပျက်စီးသည်|verb
だから|だから|so,therefore|ဒါကြောင့်|adverb
確か|たしか|definite|သေချာသော|adjective
足す|たす|to add a number|ဂဏန်းထည့်သည်|verb
訪ねる|たずねる|to visit|လည်ပတ်သည်|verb
尋ねる|たずねる|to ask|မေးသည်|verb
正しい|ただしい|correct|မှန်ကန်သော|adjective
畳|たたみ|Japanese straw mat|ဂျပန်ကြမ်းဖျာ|noun
立てる|たてる|to stand something up|မတ်တပ်ရပ်သည်|verb
建てる|たてる|to build|ဆောက်သည်|verb
例えば|たとえば|for example|ဥပမာအနေနှင့်|adverb
棚|たな|shelves|စင်များ|noun
楽しみ|たのしみ|joy|ပျော်ရွှင်မှု|noun
楽む|たのしむ|to enjoy oneself|ကိုယ်တိုင်ပျော်သည်|verb
たまに|たまに|occasionally|ရံဖန်ရံခါ|adverb
ため|ため|in order to|အတွက်|adverb
だめ|だめ|no good|မကောင်း|adjective
足りる|たりる|to be enough|လုံလောက်သည်|verb
男性|だんせい|male|အမျိုးသား|noun
暖房|だんぼう|heating|အပူပေးစနစ်|noun
血|ち|blood|သွေး|noun
チェック・する|チェック・する|to check|စစ်ဆေးသည်|verb
力|ちから|strength,power|အင်အား၊ခွန်အား|noun
ちっとも|ちっとも|not at all (used with a negative verb)|လုံးဝမဟုတ်ပါ(အနုတ်လက္ခဏာကြိယာဖြင့်သုံး)|adverb
ちゃん|ちゃん|suffix for familiar female person|ရင်းနှီးသောအမျိုးသမီးအတွက်နောက်ဆက်|noun
注意|ちゅうい|caution|သတိပေးချက်|noun
中学校|ちゅうがっこう|junior high school,middle school|အလယ်တန်းကျောင်း|noun
注射|ちゅうしゃ|injection|ဆေးထိုး|noun
駐車場|ちゅうしゃじょう|parking lot|ကားရပ်နားကွင်း|noun
地理|ちり|geography|ပထဝီဝင်|noun
捕まえる|つかまえる|to seize|ဖမ်းသည်|verb
つき|つき|moon|လ|noun
付く|つく|to be attached|ပူးတွဲသည်|verb
漬ける|つける|to soak,to pickle|နှပ်သည်၊အချဉ်တည်သည်|verb
都合|つごう|circumstances,convenience|အခြေအနေများ၊အဆင်ပြေမှု|noun
伝える|つたえる|to report|အစီရင်ခံသည်|verb
続く|つづく|to be continued|ဆက်လက်သည်|verb
続ける|つづける|to continue|ဆက်လက်သည်|verb
包む|つつむ|to wrap|ထုပ်သည်|verb
妻|つま|(humble) wife|(ရိုသေ)ဇနီး|noun
つもり|つもり|intention|ရည်ရွယ်ချက်|noun
釣る|つる|to fish|ငါးမျှားသည်|verb
連れる|つれる|to lead|ဦးဆောင်သည်|verb
丁寧|ていねい|polite|ယဉ်ကျေးသော|adjective
テキスト|テキスト|text,text book|စာသား၊စာအုပ်|noun
適当|てきとう|suitability|သင့်လျော်မှု|noun
できるだけ|できるだけ|as much as possible|တတ်နိုင်သမျှ|adverb
手伝う|てつだう|to assist|ကူညီသည်|verb
テニス|テニス|tennis|တင်နစ်|noun
手袋|てぶくろ|glove|လက်အိတ်|noun
寺|てら|temple|ဘုရားကျောင်း|noun
点|てん|point,dot|အမှတ်၊အစက်|noun
店員|てんいん|shop assistant|ဆိုင်ဝန်ထမ်း|noun
天気予報|てんきよほう|weather forecast|ရာသီခန့်မှန်းချက်|noun
電灯|でんとう|electric light|လျှပ်စစ်မီး|noun
電報|でんぽう|telegram|တယ်လီဂရမ်|noun
展覧会|てんらんかい|exhibition|ပြပွဲ|noun
都|と|metropolitan|မြို့တော်|noun
道具|どうぐ|tool,means|ကိရိယာ၊နည်း|noun
とうとう|とうとう|finally, after all|နောက်ဆုံး၊နောက်ဆုံးအနေနှင့်|adverb
動物園|どうぶつえん|zoo|တိရစ္ဆာန်ဥယျာဉ်|noun
遠く|とおく|distant|ဝေးသော|adverb
通る|とおる|to go through|ဖြတ်သန်းသည်|verb
特に|とくに|particularly,especially|အထူးသဖြင့်၊အထူး|adverb
特別|とくべつ|special|အထူး|adjective
とこや|とこや|barber|ဆံပင်ညှပ်ဆိုင်|noun
途中|とちゅう|on the way|လမ်းတွင်|noun
特急|とっきゅう|limited express train (faster than an express train)|ကန့်သတ်အမြန်ရထားပို့ဆောင်ရေး(အမြန်ရထားထက်ပိုမြန်သော)|noun
届ける|とどける|to reach|ရောက်ရှိသည်|verb
泊まる|とまる|to lodge at|နေသည်|verb
止める|とめる|to stop something|ရပ်သည်|verb
取り替える|とりかえる|to exchange|လဲလှယ်သည်|verb
泥棒|どろぼう|thief|သူခိုး|noun
どんどん|どんどん|more and more|နောက်ထပ်နောက်ထပ်|adverb
直す|なおす|to fix,to repair|ပြင်သည်၊ပြုပြင်သည်|verb
直る|なおる|to be fixed,to be repaired|ပြင်ဆင်ခံရသည်၊ပြုပြင်ခံရသည်|verb
治る|なおる|to be cured,to heal|ကုသခံရသည်၊ပျောက်ကင်းသည်|verb
中々|なかなか|considerably|များစွာ|adverb
